angle,angular_velocity,-3,0,3
-3.1416,-47.1239,0.0,0.0,0.0
-3.1416,-44.7073,0.0,0.0,0.0
-3.1416,-42.2907,0.0,0.0,0.0
-3.1416,-39.8741,0.0,0.0,0.0
-3.1416,-37.4575,0.0,0.0,0.0
-3.1416,-35.0408,0.0,0.0,0.0
-3.1416,-32.6242,0.0,0.0,0.0
-3.1416,-30.2076,0.0,0.0,0.0
-3.1416,-27.791,0.0,0.0,0.0
-3.1416,-25.3744,-35.24936258861557,-53.73266418606415,-119.86547144840843
-3.1416,-22.9578,-968.9972274732529,-979.0195255909723,-984.3246120382425
-3.1416,-20.5412,-1104.4048468706737,-1098.194128745624,-1103.4144863499318
-3.1416,-18.1246,-1137.6179910570836,-1138.6865101079986,-1136.8619658033438
-3.1416,-15.708,-1182.9228794982132,-1182.0569046026005,-1180.3264556262084
-3.1416,-13.2914,-1231.6616905225612,-1232.2434751237824,-1242.2582569394685
-3.1416,-10.8747,-1272.647896723328,-1272.100338149547,-1271.7193031254608
-3.1416,-8.4581,-1324.8781320672176,-1324.9317846443435,-1327.5626136524656
-3.1416,-6.0415,-1354.4223720647574,-1352.8294757923027,-1353.2127854795956
-3.1416,-3.6249,-1370.2734240550778,-1367.62996994853,-1365.6866336608086
-3.1416,-1.2083,-1601.9694743530429,-1595.563031003549,-1603.1544481873589
-3.1416,1.2083,-1574.1500746529978,-1614.5836248985443,-1615.4007228260352
-3.1416,3.6249,-1473.1581066937786,-1473.4175170347842,-1471.1867182541719
-3.1416,6.0415,-1350.234297557264,-1346.9575129864565,-1346.5529515714586
-3.1416,8.4581,-1321.4814772471186,-1322.374026588644,-1316.5475511182754
-3.1416,10.8747,-1268.260467067323,-1261.3023253789315,-1260.960747472125
-3.1416,13.2914,-1213.951886283891,-1212.5911116236189,-1208.339071309139
-3.1416,15.708,-1165.033788995094,-1166.1630720870276,-1165.4137303996658
-3.1416,18.1246,-1111.6338821597808,-1117.7843295059884,-1113.4668036371038
-3.1416,20.5412,-1070.7843860430883,-1068.9144131237324,-1071.6510847122884
-3.1416,22.9578,-950.8742684048291,-946.1364737300676,-949.0188950178812
-3.1416,25.3744,-539.9780785450558,-543.0880992664767,-551.0456067133399
-3.1416,27.791,0.0,0.0,-12.867712369910107
-3.1416,30.2076,0.0,0.0,0.0
-3.1416,32.6242,0.0,0.0,0.0
-3.1416,35.0408,0.0,0.0,0.0
-3.1416,37.4575,0.0,0.0,0.0
-3.1416,39.8741,0.0,0.0,0.0
-3.1416,42.2907,0.0,0.0,0.0
-3.1416,44.7073,0.0,0.0,0.0
-3.1416,47.1239,0.0,0.0,0.0
-3.0351,-47.1239,0.0,0.0,0.0
-3.0351,-44.7073,0.0,0.0,0.0
-3.0351,-42.2907,0.0,0.0,0.0
-3.0351,-39.8741,0.0,0.0,0.0
-3.0351,-37.4575,0.0,0.0,0.0
-3.0351,-35.0408,0.0,0.0,0.0
-3.0351,-32.6242,0.0,0.0,0.0
-3.0351,-30.2076,0.0,0.0,0.0
-3.0351,-27.791,0.0,0.0,0.0
-3.0351,-25.3744,-118.01754957468253,-102.79571560726882,-127.49374929201545
-3.0351,-22.9578,-1015.3557087371116,-1017.7565115205911,-1028.7301530356785
-3.0351,-20.5412,-1157.1028753294524,-1155.8484399264903,-1155.9006424362724
-3.0351,-18.1246,-1182.987226189549,-1186.4900665677515,-1182.7945214060885
-3.0351,-15.708,-1227.6010760005836,-1223.3220381186318,-1223.3462686409025
-3.0351,-13.2914,-1279.517519363032,-1279.30605741651,-1276.4561864517063
-3.0351,-10.8747,-1312.971654664538,-1319.3027225259252,-1319.7909814187915
-3.0351,-8.4581,-1367.911706302612,-1369.3277013468783,-1370.1300441482194
-3.0351,-6.0415,-1394.5425217941258,-1391.256309169656,-1393.715143452266
-3.0351,-3.6249,-1401.3943004565626,-1402.5367175503807,-1404.0160841895088
-3.0351,-1.2083,-1450.2128319717074,-1463.3267882810756,-1452.7938003766142
-3.0351,1.2083,-1507.79090784275,-1507.0067118258476,-1499.9790849798408
-3.0351,3.6249,-1488.3790820335305,-1480.140407631669,-1488.0095330495624
-3.0351,6.0415,-1348.024649185807,-1347.6646385478678,-1342.7053318161572
-3.0351,8.4581,-1319.6206470317022,-1313.9004292088155,-1305.0617103666464
-3.0351,10.8747,-1246.7272560698116,-1253.018526678718,-1246.9409963401104
-3.0351,13.2914,-1198.3731351326705,-1195.0149616311267,-1191.8910054237506
-3.0351,15.708,-1137.6816378174244,-1136.3267320363068,-1128.0231786542583
-3.0351,18.1246,-1079.41744938768,-1067.1491523480731,-1071.0357727607131
-3.0351,20.5412,-1042.4518520728675,-1034.1143306329575,-1035.3299164515745
-3.0351,22.9578,-940.9445697844066,-926.905811041471,-873.4969609383071
-3.0351,25.3744,-617.6675730480094,-632.6331582220245,-600.6297659996942
-3.0351,27.791,0.0,-11.800329136989063,0.0
-3.0351,30.2076,0.0,0.0,0.0
-3.0351,32.6242,0.0,0.0,0.0
-3.0351,35.0408,0.0,0.0,0.0
-3.0351,37.4575,0.0,0.0,0.0
-3.0351,39.8741,0.0,0.0,0.0
-3.0351,42.2907,0.0,0.0,0.0
-3.0351,44.7073,0.0,0.0,0.0
-3.0351,47.1239,0.0,0.0,0.0
-2.9286,-47.1239,0.0,0.0,0.0
-2.9286,-44.7073,0.0,0.0,0.0
-2.9286,-42.2907,0.0,0.0,0.0
-2.9286,-39.8741,0.0,0.0,0.0
-2.9286,-37.4575,0.0,0.0,0.0
-2.9286,-35.0408,0.0,0.0,0.0
-2.9286,-32.6242,0.0,0.0,0.0
-2.9286,-30.2076,0.0,0.0,0.0
-2.9286,-27.791,0.0,0.0,0.0
-2.9286,-25.3744,-82.01796029406245,-126.80575922529903,-147.2402940250872
-2.9286,-22.9578,-1042.6915256587056,-1046.1960728275656,-1059.1336916797122
-2.9286,-20.5412,-1194.1057163393477,-1196.2469230349943,-1196.0728511474786
-2.9286,-18.1246,-1234.6495980363513,-1234.6154534784935,-1236.558707423383
-2.9286,-15.708,-1265.9922930899243,-1268.595279296288,-1271.563121646122
-2.9286,-13.2914,-1317.0023063556964,-1316.3173018319133,-1319.0047098383343
-2.9286,-10.8747,-1353.763390994721,-1355.0767776388927,-1356.6490872034067
-2.9286,-8.4581,-1395.2151603831844,-1392.723162488188,-1394.156799040547
-2.9286,-6.0415,-1417.0139575471383,-1418.0723203987516,-1418.4620026722514
-2.9286,-3.6249,-1416.6607502557704,-1416.8602228275258,-1416.4017113641605
-2.9286,-1.2083,-1425.4848144470714,-1425.4163680555098,-1425.3854149313179
-2.9286,1.2083,-1410.455483262844,-1409.3827770279077,-1405.837511365464
-2.9286,3.6249,-1406.0354861539884,-1402.2671695462577,-1405.278400651023
-2.9286,6.0415,-1317.5961958708128,-1305.406996260102,-1305.9189548607555
-2.9286,8.4581,-1278.3563646395364,-1277.2977514806735,-1274.7431913556384
-2.9286,10.8747,-1202.6757725401185,-1191.5519039716587,-1192.4886048271646
-2.9286,13.2914,-1134.4286439693196,-1129.4699965729437,-1134.6372009182721
-2.9286,15.708,-1075.5307607609889,-1066.8474473403426,-1076.9940418688973
-2.9286,18.1246,-1010.6058168877696,-1012.959478038642,-1014.5889224567056
-2.9286,20.5412,-972.7440192612212,-976.6004547350678,-972.2008079607035
-2.9286,22.9578,-880.8039471385144,-877.086998336976,-871.648926161374
-2.9286,25.3744,-575.5156911449079,-583.5252512237274,-570.217994708375
-2.9286,27.791,0.0,-60.067860222000796,0.0
-2.9286,30.2076,0.0,0.0,0.0
-2.9286,32.6242,0.0,0.0,0.0
-2.9286,35.0408,0.0,0.0,0.0
-2.9286,37.4575,0.0,0.0,0.0
-2.9286,39.8741,0.0,0.0,0.0
-2.9286,42.2907,0.0,0.0,0.0
-2.9286,44.7073,0.0,0.0,0.0
-2.9286,47.1239,0.0,0.0,0.0
-2.8221,-47.1239,0.0,0.0,0.0
-2.8221,-44.7073,0.0,0.0,0.0
-2.8221,-42.2907,0.0,0.0,0.0
-2.8221,-39.8741,0.0,0.0,0.0
-2.8221,-37.4575,0.0,0.0,0.0
-2.8221,-35.0408,0.0,0.0,0.0
-2.8221,-32.6242,0.0,0.0,0.0
-2.8221,-30.2076,0.0,0.0,0.0
-2.8221,-27.791,0.0,0.0,0.0
-2.8221,-25.3744,-53.48130802371732,-56.778845106914574,-87.5294722032153
-2.8221,-22.9578,-1056.9436021167305,-1056.006440669592,-1067.077545010241
-2.8221,-20.5412,-1187.505966718904,-1225.3737276803677,-1229.8840456639812
-2.8221,-18.1246,-1268.6061396188188,-1267.8161595638514,-1269.6854599452286
-2.8221,-15.708,-1314.1698091442724,-1310.3111887121865,-1311.4537648184112
-2.8221,-13.2914,-1350.7099105282377,-1347.4417544531675,-1347.328179914767
-2.8221,-10.8747,-1386.0604909989847,-1386.4955078315966,-1385.211253455534
-2.8221,-8.4581,-1413.6891611270273,-1413.2806874590087,-1412.4391302552028
-2.8221,-6.0415,-1432.4588881991733,-1430.3557982171667,-1431.097620306218
-2.8221,-3.6249,-1424.8264005233505,-1422.5241745059084,-1421.3337364081744
-2.8221,-1.2083,-1395.469896025266,-1396.230815886382,-1400.239392696464
-2.8221,1.2083,-1376.7627844365325,-1375.7937956476667,-1362.70623759431
-2.8221,3.6249,-1338.6953760884155,-1330.6006724178326,-1333.8023480223767
-2.8221,6.0415,-1294.761669060637,-1293.7340389061626,-1279.7588704040431
-2.8221,8.4581,-1236.9038544860039,-1232.806392203989,-1229.7104360684111
-2.8221,10.8747,-1131.8967293081032,-1130.7727700257763,-1129.0068235649537
-2.8221,13.2914,-1067.5689907953424,-1071.1725539537797,-1072.103516653028
-2.8221,15.708,-1012.3313101003297,-1010.736065911781,-1005.838737730606
-2.8221,18.1246,-955.0542368259449,-953.7211973943624,-950.1393071739998
-2.8221,20.5412,-916.523161542093,-915.6443832104235,-915.8978078221872
-2.8221,22.9578,-823.6560724537203,-823.0714696697818,-799.553578163737
-2.8221,25.3744,-606.1238429812709,-582.1566844753146,-535.8633606645553
-2.8221,27.791,0.0,-48.589947447037,0.0
-2.8221,30.2076,0.0,0.0,0.0
-2.8221,32.6242,0.0,0.0,0.0
-2.8221,35.0408,0.0,0.0,0.0
-2.8221,37.4575,0.0,0.0,0.0
-2.8221,39.8741,0.0,0.0,0.0
-2.8221,42.2907,0.0,0.0,0.0
-2.8221,44.7073,0.0,0.0,0.0
-2.8221,47.1239,0.0,0.0,0.0
-2.7156,-47.1239,0.0,0.0,0.0
-2.7156,-44.7073,0.0,0.0,0.0
-2.7156,-42.2907,0.0,0.0,0.0
-2.7156,-39.8741,0.0,0.0,0.0
-2.7156,-37.4575,0.0,0.0,0.0
-2.7156,-35.0408,0.0,0.0,0.0
-2.7156,-32.6242,0.0,0.0,0.0
-2.7156,-30.2076,0.0,0.0,0.0
-2.7156,-27.791,0.0,0.0,0.0
-2.7156,-25.3744,-11.670804842983399,-22.983453756840493,-14.680172404235655
-2.7156,-22.9578,-1014.4211229986042,-1082.8713531229837,-1083.5738405367622
